Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acq_data_fifo_m_axis_tvalid,i_system_wrapper/system_i/acq_l1_data_slice_Dout[15:0],i_system_wrapper/system_i/acq_l5_data_slice_Dout[15:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tdata[31:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
1008,1008,0,0,fe0b,ffff,00fd01ea,0
1009,1009,0,0,fe0b,ffff,00fefee7,1
1010,1010,0,0,fe0b,ffff,00fefee7,0
1011,1011,0,0,fe0b,ffff,00fefee7,0
1012,1012,0,0,fe0b,ffff,00fefee7,0
1013,1013,0,0,fe0b,ffff,00fefee7,0
1014,1014,0,0,fe0b,ffff,fc0100e9,1
1015,1015,0,0,fe0b,ffff,fc0100e9,0
1016,1016,0,0,fe0b,ffff,fc0100e9,0
1017,1017,0,0,fe0b,ffff,fc0100e9,0
1018,1018,0,0,fe0b,ffff,fd00feea,1
1019,1019,0,0,fe0b,ffff,fd00feea,0
1020,1020,0,0,fe0b,ffff,fd00feea,0
1021,1021,0,0,fe0b,ffff,fd00feea,0
1022,1022,0,0,fe0b,ffff,fd00feea,0
1023,1023,0,0,fe0b,ffff,0102fcec,1
